Location,Selector,Degree,Male Population,Female Population,Median Age (Male),Median Age (Female),Total Population,Population Density,Zoom Level,Top Left Degree,Bottom Right Degree,id
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1037),39.274 21.423 Degrees,55,43,31,21,98,Population Density: 153.10/sq km,6,39.271 21.426 Degrees,39.278 21.419 Degrees,1037
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1038),39.303 21.443 Degrees,768,545,30,25,"1,313","Population Density: 2,051.60/sq km",6,39.300 21.446 Degrees,39.307 21.440 Degrees,1038
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1039),39.289 21.369 Degrees,Protected,Protected,Protected,Protected,35,Population Density: 54.70/sq km,6,39.285 21.372 Degrees,39.293 21.366 Degrees,1039
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1040),39.310 21.383 Degrees,539,293,30,24,832,"Population Density: 1,300.00/sq km",6,39.307 21.386 Degrees,39.314 21.379 Degrees,1040
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1041),39.303 21.403 Degrees,4053,3182,28,24,"7,235","Population Density: 11,304.70/sq km",6,39.300 21.406 Degrees,39.307 21.399 Degrees,1041
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1042),39.310 21.389 Degrees,168,110,29,23,278,Population Density: 434.40/sq km,6,39.307 21.393 Degrees,39.314 21.386 Degrees,1042
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1043),39.296 21.403 Degrees,4619,3753,29,25,"8,372","Population Density: 13,081.30/sq km",6,39.293 21.406 Degrees,39.300 21.399 Degrees,1043
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1044),39.274 21.323 Degrees,139,99,31,25,238,Population Density: 371.90/sq km,6,39.271 21.326 Degrees,39.278 21.319 Degrees,1044
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1045),39.274 21.403 Degrees,2832,2153,29,26,"4,985","Population Density: 7,789.10/sq km",6,39.271 21.406 Degrees,39.278 21.399 Degrees,1045
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1046),39.332 21.416 Degrees,183,35,33,30,218,Population Density: 340.60/sq km,6,39.329 21.419 Degrees,39.336 21.413 Degrees,1046
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1047),39.346 21.430 Degrees,1962,1693,25,25,"3,655","Population Density: 5,710.90/sq km",6,39.343 21.433 Degrees,39.350 21.426 Degrees,1047
