Location,Selector,Degree,Male Population,Female Population,Median Age (Male),Median Age (Female),Total Population,Population Density,Zoom Level,Top Left Degree,Bottom Right Degree,id
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1388),39.821 21.356 Degrees,3214,2545,28,25,"5,759","Population Density: 8,998.40/sq km",6,39.817 21.359 Degrees,39.824 21.353 Degrees,1388
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1389),39.806 21.376 Degrees,2952,1319,33,28,"4,271","Population Density: 6,673.40/sq km",6,39.803 21.379 Degrees,39.810 21.372 Degrees,1389
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1390),39.835 21.376 Degrees,2139,1636,30,25,"3,775","Population Density: 5,898.40/sq km",6,39.832 21.379 Degrees,39.838 21.372 Degrees,1390
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1391),39.864 21.410 Degrees,5009,1551,35,28,"6,560","Population Density: 10,250.00/sq km",6,39.860 21.413 Degrees,39.868 21.406 Degrees,1391
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1392),39.864 21.356 Degrees,223,203,27,25,426,Population Density: 665.60/sq km,6,39.860 21.359 Degrees,39.868 21.353 Degrees,1392
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1393),39.828 21.369 Degrees,5581,3960,30,25,"9,541","Population Density: 14,907.80/sq km",6,39.824 21.372 Degrees,39.832 21.366 Degrees,1393
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1394),39.900 21.349 Degrees,2119,1378,31,27,"3,497","Population Density: 5,464.10/sq km",6,39.896 21.353 Degrees,39.903 21.346 Degrees,1394
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1395),39.849 21.450 Degrees,8351,3841,33,27,"12,192","Population Density: 19,050.00/sq km",6,39.846 21.453 Degrees,39.853 21.446 Degrees,1395
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1396),39.885 21.389 Degrees,468,131,34,30,599,Population Density: 935.90/sq km,6,39.882 21.393 Degrees,39.889 21.386 Degrees,1396
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1397),39.806 21.403 Degrees,12652,8741,30,25,"21,393","Population Density: 33,426.60/sq km",6,39.803 21.406 Degrees,39.810 21.399 Degrees,1397
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1398),39.871 21.410 Degrees,3045,1197,34,28,"4,242","Population Density: 6,628.10/sq km",6,39.868 21.413 Degrees,39.875 21.406 Degrees,1398
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1399),39.892 21.363 Degrees,625,473,31,27,"1,098","Population Density: 1,715.60/sq km",6,39.889 21.366 Degrees,39.896 21.360 Degrees,1399
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1400),39.878 21.363 Degrees,1172,577,34,31,"1,749","Population Density: 2,732.80/sq km",6,39.875 21.366 Degrees,39.881 21.360 Degrees,1400
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1401),39.770 21.416 Degrees,2847,1855,31,28,"4,702","Population Density: 7,346.90/sq km",6,39.767 21.419 Degrees,39.774 21.413 Degrees,1401
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1402),39.777 21.423 Degrees,514,337,33,30,851,"Population Density: 1,329.70/sq km",6,39.774 21.426 Degrees,39.781 21.419 Degrees,1402
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1403),39.749 21.396 Degrees,941,170,34,30,"1,111","Population Density: 1,735.90/sq km",6,39.745 21.399 Degrees,39.753 21.393 Degrees,1403
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1404),39.878 21.302 Degrees,300,234,28,24,534,Population Density: 834.40/sq km,6,39.875 21.306 Degrees,39.881 21.299 Degrees,1404
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1405),39.777 21.336 Degrees,117,95,31,25,212,Population Density: 331.30/sq km,6,39.774 21.339 Degrees,39.781 21.332 Degrees,1405
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1406),39.828 21.302 Degrees,86,63,25,20,149,Population Density: 232.80/sq km,6,39.824 21.306 Degrees,39.832 21.299 Degrees,1406
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1407),39.864 21.430 Degrees,170,73,36,27,243,Population Density: 379.70/sq km,6,39.860 21.433 Degrees,39.868 21.426 Degrees,1407
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1408),39.813 21.383 Degrees,4239,2401,31,26,"6,640","Population Density: 10,375.00/sq km",6,39.810 21.386 Degrees,39.817 21.379 Degrees,1408
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1409),39.785 21.369 Degrees,3925,3346,29,27,"7,271","Population Density: 11,360.90/sq km",6,39.781 21.372 Degrees,39.788 21.366 Degrees,1409
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1410),39.878 21.369 Degrees,2886,1336,33,28,"4,222","Population Density: 6,596.90/sq km",6,39.875 21.372 Degrees,39.881 21.366 Degrees,1410
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1411),39.799 21.383 Degrees,11075,7316,31,26,"18,391","Population Density: 28,735.90/sq km",6,39.796 21.386 Degrees,39.802 21.379 Degrees,1411
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1412),39.885 21.349 Degrees,2309,1605,30,28,"3,914","Population Density: 6,115.60/sq km",6,39.882 21.353 Degrees,39.889 21.346 Degrees,1412
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1413),39.892 21.376 Degrees,289,51,35,34,340,Population Density: 531.30/sq km,6,39.889 21.379 Degrees,39.896 21.372 Degrees,1413
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1414),39.900 21.356 Degrees,1898,1441,30,27,"3,339","Population Density: 5,217.20/sq km",6,39.896 21.359 Degrees,39.903 21.353 Degrees,1414
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1415),39.828 21.289 Degrees,150,102,31,22,252,Population Density: 393.80/sq km,6,39.824 21.292 Degrees,39.832 21.285 Degrees,1415
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1416),39.842 21.396 Degrees,590,130,35,32,720,"Population Density: 1,125.00/sq km",6,39.839 21.399 Degrees,39.846 21.393 Degrees,1416
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1417),39.770 21.436 Degrees,722,553,29,25,"1,275","Population Density: 1,992.20/sq km",6,39.767 21.440 Degrees,39.774 21.433 Degrees,1417
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1418),39.821 21.363 Degrees,2785,2241,29,25,"5,026","Population Density: 7,853.10/sq km",6,39.817 21.366 Degrees,39.824 21.360 Degrees,1418
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1419),39.756 21.403 Degrees,229,125,34,28,354,Population Density: 553.10/sq km,6,39.753 21.406 Degrees,39.760 21.399 Degrees,1419
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1420),39.813 21.349 Degrees,167,101,32,28,268,Population Density: 418.80/sq km,6,39.810 21.353 Degrees,39.817 21.346 Degrees,1420
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1421),39.821 21.416 Degrees,10621,4652,33,27,"15,273","Population Density: 23,864.10/sq km",6,39.817 21.419 Degrees,39.824 21.413 Degrees,1421
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1422),39.842 21.443 Degrees,3682,1292,35,29,"4,974","Population Density: 7,771.90/sq km",6,39.839 21.446 Degrees,39.846 21.440 Degrees,1422
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1423),39.864 21.383 Degrees,1665,1170,33,29,"2,835","Population Density: 4,429.70/sq km",6,39.860 21.386 Degrees,39.868 21.379 Degrees,1423
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1424),39.756 21.410 Degrees,324,226,29,25,550,Population Density: 859.40/sq km,6,39.753 21.413 Degrees,39.760 21.406 Degrees,1424
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1425),39.857 21.302 Degrees,68,51,25,22,119,Population Density: 185.90/sq km,6,39.853 21.306 Degrees,39.860 21.299 Degrees,1425
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1426),39.871 21.302 Degrees,84,52,25,24,136,Population Density: 212.50/sq km,6,39.868 21.306 Degrees,39.875 21.299 Degrees,1426
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1427),39.792 21.403 Degrees,4216,2564,33,28,"6,780","Population Density: 10,593.80/sq km",6,39.788 21.406 Degrees,39.796 21.399 Degrees,1427
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1428),39.878 21.383 Degrees,546,332,35,32,878,"Population Density: 1,371.90/sq km",6,39.875 21.386 Degrees,39.881 21.379 Degrees,1428
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1429),39.849 21.423 Degrees,1048,310,36,32,"1,358","Population Density: 2,121.90/sq km",6,39.846 21.426 Degrees,39.853 21.419 Degrees,1429
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1430),39.799 21.376 Degrees,8722,5637,31,27,"14,359","Population Density: 22,435.90/sq km",6,39.796 21.379 Degrees,39.802 21.372 Degrees,1430
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1431),39.799 21.436 Degrees,6895,3447,33,28,"10,342","Population Density: 16,159.40/sq km",6,39.796 21.440 Degrees,39.802 21.433 Degrees,1431
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1432),39.849 21.363 Degrees,43,26,32,26,69,Population Density: 107.80/sq km,6,39.846 21.366 Degrees,39.853 21.360 Degrees,1432
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1433),39.864 21.423 Degrees,906,245,34,29,"1,151","Population Density: 1,798.40/sq km",6,39.860 21.426 Degrees,39.868 21.419 Degrees,1433
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1434),39.792 21.396 Degrees,2520,1771,32,28,"4,291","Population Density: 6,704.70/sq km",6,39.788 21.399 Degrees,39.796 21.393 Degrees,1434
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1435),39.871 21.356 Degrees,1447,1133,29,26,"2,580","Population Density: 4,031.30/sq km",6,39.868 21.359 Degrees,39.875 21.353 Degrees,1435
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1436),39.806 21.289 Degrees,Protected,Protected,Protected,Protected,41,Population Density: 64.10/sq km,6,39.803 21.292 Degrees,39.810 21.285 Degrees,1436
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1437),39.857 21.423 Degrees,2473,1075,35,26,"3,548","Population Density: 5,543.80/sq km",6,39.853 21.426 Degrees,39.860 21.419 Degrees,1437
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1438),39.777 21.369 Degrees,3310,2945,28,27,"6,255","Population Density: 9,773.40/sq km",6,39.774 21.372 Degrees,39.781 21.366 Degrees,1438
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1439),39.806 21.396 Degrees,8015,5206,31,25,"13,221","Population Density: 20,657.80/sq km",6,39.803 21.399 Degrees,39.810 21.393 Degrees,1439
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1440),39.792 21.436 Degrees,5230,2581,34,30,"7,811","Population Density: 12,204.70/sq km",6,39.788 21.440 Degrees,39.796 21.433 Degrees,1440
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1441),39.835 21.289 Degrees,259,170,29,22,429,Population Density: 670.30/sq km,6,39.832 21.292 Degrees,39.838 21.285 Degrees,1441
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1442),39.799 21.316 Degrees,Protected,Protected,Protected,Protected,48,Population Density: 75.00/sq km,6,39.796 21.319 Degrees,39.802 21.313 Degrees,1442
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1443),39.864 21.316 Degrees,217,89,30,29,306,Population Density: 478.10/sq km,6,39.860 21.319 Degrees,39.868 21.313 Degrees,1443
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1444),39.828 21.349 Degrees,1906,1601,27,24,"3,507","Population Density: 5,479.70/sq km",6,39.824 21.353 Degrees,39.832 21.346 Degrees,1444
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1445),39.799 21.343 Degrees,246,194,30,24,440,Population Density: 687.50/sq km,6,39.796 21.346 Degrees,39.802 21.339 Degrees,1445
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1446),39.871 21.296 Degrees,126,80,24,21,206,Population Density: 321.90/sq km,6,39.868 21.299 Degrees,39.875 21.293 Degrees,1446
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1447),39.842 21.349 Degrees,913,778,26,23,"1,691","Population Density: 2,642.20/sq km",6,39.839 21.353 Degrees,39.846 21.346 Degrees,1447
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1448),39.900 21.296 Degrees,446,264,28,23,710,"Population Density: 1,109.40/sq km",6,39.896 21.299 Degrees,39.903 21.293 Degrees,1448
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1449),39.785 21.343 Degrees,131,110,32,29,241,Population Density: 376.60/sq km,6,39.781 21.346 Degrees,39.788 21.339 Degrees,1449
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1450),39.892 21.349 Degrees,2273,1828,29,27,"4,101","Population Density: 6,407.80/sq km",6,39.889 21.353 Degrees,39.896 21.346 Degrees,1450
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1451),39.864 21.389 Degrees,1494,1128,31,26,"2,622","Population Density: 4,096.90/sq km",6,39.860 21.393 Degrees,39.868 21.386 Degrees,1451
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1452),39.892 21.329 Degrees,38,28,35,24,66,Population Density: 103.10/sq km,6,39.889 21.332 Degrees,39.896 21.326 Degrees,1452
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1453),39.892 21.323 Degrees,212,143,31,26,355,Population Density: 554.70/sq km,6,39.889 21.326 Degrees,39.896 21.319 Degrees,1453
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1454),39.835 21.363 Degrees,3011,2391,29,25,"5,402","Population Density: 8,440.60/sq km",6,39.832 21.366 Degrees,39.838 21.360 Degrees,1454
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1455),39.749 21.430 Degrees,766,613,28,27,"1,379","Population Density: 2,154.70/sq km",6,39.745 21.433 Degrees,39.753 21.426 Degrees,1455
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1456),39.835 21.410 Degrees,888,525,31,25,"1,413","Population Density: 2,207.80/sq km",6,39.832 21.413 Degrees,39.838 21.406 Degrees,1456
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1457),39.813 21.450 Degrees,3843,2548,32,27,"6,391","Population Density: 9,985.90/sq km",6,39.810 21.453 Degrees,39.817 21.446 Degrees,1457
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1458),39.821 21.430 Degrees,Protected,Protected,Protected,Protected,58,Population Density: 90.60/sq km,6,39.817 21.433 Degrees,39.824 21.426 Degrees,1458
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1459),39.734 21.396 Degrees,118,107,29,24,225,Population Density: 351.60/sq km,6,39.731 21.399 Degrees,39.738 21.393 Degrees,1459
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1460),39.763 21.349 Degrees,313,155,29,28,468,Population Density: 731.30/sq km,6,39.760 21.353 Degrees,39.767 21.346 Degrees,1460
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1461),39.900 21.289 Degrees,267,135,29,24,402,Population Density: 628.10/sq km,6,39.896 21.292 Degrees,39.903 21.285 Degrees,1461
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1462),39.864 21.403 Degrees,5016,2212,35,27,"7,228","Population Density: 11,293.80/sq km",6,39.860 21.406 Degrees,39.868 21.399 Degrees,1462
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1463),39.849 21.430 Degrees,1693,568,35,29,"2,261","Population Density: 3,532.80/sq km",6,39.846 21.433 Degrees,39.853 21.426 Degrees,1463
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1464),39.756 21.396 Degrees,114,92,32,24,206,Population Density: 321.90/sq km,6,39.753 21.399 Degrees,39.760 21.393 Degrees,1464
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1465),39.763 21.383 Degrees,1627,637,36,29,"2,264","Population Density: 3,537.50/sq km",6,39.760 21.386 Degrees,39.767 21.379 Degrees,1465
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1466),39.842 21.376 Degrees,791,594,30,25,"1,385","Population Density: 2,164.10/sq km",6,39.839 21.379 Degrees,39.846 21.372 Degrees,1466
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1467),39.857 21.410 Degrees,731,332,34,31,"1,063","Population Density: 1,660.90/sq km",6,39.853 21.413 Degrees,39.860 21.406 Degrees,1467
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1468),39.792 21.416 Degrees,3219,1990,33,28,"5,209","Population Density: 8,139.10/sq km",6,39.788 21.419 Degrees,39.796 21.413 Degrees,1468
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1469),39.806 21.416 Degrees,6206,3231,35,30,"9,437","Population Density: 14,745.30/sq km",6,39.803 21.419 Degrees,39.810 21.413 Degrees,1469
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1470),39.878 21.356 Degrees,1844,1490,29,27,"3,334","Population Density: 5,209.40/sq km",6,39.875 21.359 Degrees,39.881 21.353 Degrees,1470
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1471),39.785 21.363 Degrees,3424,2939,28,27,"6,363","Population Density: 9,942.20/sq km",6,39.781 21.366 Degrees,39.788 21.360 Degrees,1471
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1472),39.842 21.369 Degrees,369,243,30,27,612,Population Density: 956.30/sq km,6,39.839 21.372 Degrees,39.846 21.366 Degrees,1472
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1473),39.892 21.302 Degrees,Protected,Protected,Protected,Protected,87,Population Density: 135.90/sq km,6,39.889 21.306 Degrees,39.896 21.299 Degrees,1473
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1474),39.885 21.369 Degrees,1516,770,33,29,"2,286","Population Density: 3,571.90/sq km",6,39.882 21.372 Degrees,39.889 21.366 Degrees,1474
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1475),39.878 21.403 Degrees,3805,1644,34,28,"5,449","Population Density: 8,514.10/sq km",6,39.875 21.406 Degrees,39.881 21.399 Degrees,1475
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1476),39.777 21.396 Degrees,1050,883,30,26,"1,933","Population Density: 3,020.30/sq km",6,39.774 21.399 Degrees,39.781 21.393 Degrees,1476
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1477),39.835 21.356 Degrees,5147,3812,29,25,"8,959","Population Density: 13,998.40/sq km",6,39.832 21.359 Degrees,39.838 21.353 Degrees,1477
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1478),39.900 21.343 Degrees,359,298,26,26,657,"Population Density: 1,026.60/sq km",6,39.896 21.346 Degrees,39.903 21.339 Degrees,1478
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1479),39.835 21.389 Degrees,13625,2744,36,31,"16,369","Population Density: 25,576.60/sq km",6,39.832 21.393 Degrees,39.838 21.386 Degrees,1479
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1480),39.756 21.430 Degrees,152,128,29,29,280,Population Density: 437.50/sq km,6,39.753 21.433 Degrees,39.760 21.426 Degrees,1480
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1481),39.806 21.389 Degrees,9632,5824,31,24,"15,456","Population Density: 24,150.00/sq km",6,39.803 21.393 Degrees,39.810 21.386 Degrees,1481
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1482),39.885 21.356 Degrees,2927,2019,31,27,"4,946","Population Density: 7,728.10/sq km",6,39.882 21.359 Degrees,39.889 21.353 Degrees,1482
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1483),39.878 21.410 Degrees,111,35,35,28,146,Population Density: 228.10/sq km,6,39.875 21.413 Degrees,39.881 21.406 Degrees,1483
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1484),39.785 21.389 Degrees,2766,2076,30,28,"4,842","Population Density: 7,565.60/sq km",6,39.781 21.393 Degrees,39.788 21.386 Degrees,1484
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1485),39.770 21.369 Degrees,550,476,26,25,"1,026","Population Density: 1,603.10/sq km",6,39.767 21.372 Degrees,39.774 21.366 Degrees,1485
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1486),39.828 21.416 Degrees,11677,1974,36,31,"13,651","Population Density: 21,329.70/sq km",6,39.824 21.419 Degrees,39.832 21.413 Degrees,1486
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1487),39.835 21.436 Degrees,4905,1840,35,30,"6,745","Population Density: 10,539.10/sq km",6,39.832 21.440 Degrees,39.838 21.433 Degrees,1487
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1488),39.777 21.349 Degrees,427,384,31,28,811,"Population Density: 1,267.20/sq km",6,39.774 21.353 Degrees,39.781 21.346 Degrees,1488
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1489),39.770 21.450 Degrees,1342,1087,30,26,"2,429","Population Density: 3,795.30/sq km",6,39.767 21.453 Degrees,39.774 21.446 Degrees,1489
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1490),39.763 21.436 Degrees,1873,1574,28,26,"3,447","Population Density: 5,385.90/sq km",6,39.760 21.440 Degrees,39.767 21.433 Degrees,1490
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1491),39.763 21.403 Degrees,65,53,26,26,118,Population Density: 184.40/sq km,6,39.760 21.406 Degrees,39.767 21.399 Degrees,1491
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1492),39.770 21.403 Degrees,2245,1920,29,27,"4,165","Population Density: 6,507.80/sq km",6,39.767 21.406 Degrees,39.774 21.399 Degrees,1492
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1493),39.828 21.376 Degrees,2030,1690,29,24,"3,720","Population Density: 5,812.50/sq km",6,39.824 21.379 Degrees,39.832 21.372 Degrees,1493
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1494),39.770 21.323 Degrees,61,30,31,22,91,Population Density: 142.20/sq km,6,39.767 21.326 Degrees,39.774 21.319 Degrees,1494
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1495),39.892 21.450 Degrees,469,213,34,27,682,"Population Density: 1,065.60/sq km",6,39.889 21.453 Degrees,39.896 21.446 Degrees,1495
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1496),39.857 21.389 Degrees,Protected,Protected,Protected,Protected,41,Population Density: 64.10/sq km,6,39.853 21.393 Degrees,39.860 21.386 Degrees,1496
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1497),39.813 21.389 Degrees,1176,665,31,27,"1,841","Population Density: 2,876.60/sq km",6,39.810 21.393 Degrees,39.817 21.386 Degrees,1497
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1498),39.799 21.349 Degrees,79,70,23,25,149,Population Density: 232.80/sq km,6,39.796 21.353 Degrees,39.802 21.346 Degrees,1498
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1499),39.885 21.302 Degrees,878,588,28,23,"1,466","Population Density: 2,290.60/sq km",6,39.882 21.306 Degrees,39.889 21.299 Degrees,1499
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1500),39.799 21.389 Degrees,11527,7349,30,23,"18,876","Population Density: 29,493.80/sq km",6,39.796 21.393 Degrees,39.802 21.386 Degrees,1500
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1501),39.799 21.396 Degrees,6189,3969,31,26,"10,158","Population Density: 15,871.90/sq km",6,39.796 21.399 Degrees,39.802 21.393 Degrees,1501
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1502),39.828 21.396 Degrees,5788,1677,35,27,"7,465","Population Density: 11,664.10/sq km",6,39.824 21.399 Degrees,39.832 21.393 Degrees,1502
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1503),39.792 21.389 Degrees,6974,4904,31,28,"11,878","Population Density: 18,559.40/sq km",6,39.788 21.393 Degrees,39.796 21.386 Degrees,1503
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1504),39.792 21.369 Degrees,7814,6783,29,27,"14,597","Population Density: 22,807.80/sq km",6,39.788 21.372 Degrees,39.796 21.366 Degrees,1504
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1505),39.734 21.336 Degrees,45,28,29,27,73,Population Density: 114.10/sq km,6,39.731 21.339 Degrees,39.738 21.332 Degrees,1505
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1506),39.871 21.363 Degrees,159,55,35,31,214,Population Density: 334.40/sq km,6,39.868 21.366 Degrees,39.875 21.360 Degrees,1506
Makkah,#results_grid_pop_v13_9641_layer > g:nth-child(1) > path:nth-child(1507),39.871 21.389 Degrees,6834,4630,33,26,"11,464","Population Density: 17,912.50/sq km",6,39.868 21.393 Degrees,39.875 21.386 Degrees,1507
