Location,Selector,Degree,HouseholdAverageSize,HouseholdMedianSize,ZoomLevel,TopLeftDegree,BottomRightDegree,ID,Parent
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(560),39.099 21.840 Degrees,3.4,2,4,39.085 21.853 Degrees,39.114 21.827 Degrees,Makkah-560-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(559),39.242 21.600 Degrees,3.6,3,4,39.228 21.613 Degrees,39.257 21.587 Degrees,Makkah-559-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(558),39.128 21.600 Degrees,3.2,2,4,39.114 21.613 Degrees,39.143 21.587 Degrees,Makkah-558-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(557),39.128 21.707 Degrees,3.9,3,4,39.114 21.720 Degrees,39.143 21.695 Degrees,Makkah-557-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(556),39.070 21.840 Degrees,2.9,2,4,39.056 21.853 Degrees,39.084 21.827 Degrees,Makkah-556-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(555),39.271 21.840 Degrees,1.5,1,4,39.257 21.853 Degrees,39.286 21.827 Degrees,Makkah-555-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(554),39.131 21.520 Degrees,2.5,2,4,39.120 21.533 Degrees,39.143 21.506 Degrees,Makkah-554-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(553),39.157 21.840 Degrees,4.1,4,4,39.143 21.853 Degrees,39.172 21.827 Degrees,Makkah-553-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(523),39.012 21.840 Degrees,4.9,5,4,38.999 21.853 Degrees,39.028 21.827 Degrees,Makkah-523-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(521),39.185 21.788 Degrees,4.3,4,4,39.172 21.801 Degrees,39.199 21.774 Degrees,Makkah-521-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(693),39.128 21.894 Degrees,3.1,2,4,39.114 21.906 Degrees,39.143 21.880 Degrees,Makkah-693-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(492),39.644 21.788 Degrees,4.8,4,4,39.630 21.801 Degrees,39.659 21.774 Degrees,Makkah-492-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(490),39.588 21.279 Degrees,4.1,3,4,39.574 21.292 Degrees,39.602 21.265 Degrees,Makkah-490-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(489),39.961 21.306 Degrees,3.1,2,4,39.948 21.319 Degrees,39.975 21.292 Degrees,Makkah-489-4,
Makkah,#1851fd1eace-layer-5_layer > g:nth-child(1) > path:nth-child(488),39.990 21.387 Degrees,2.2,2,4,39.976 21.400 Degrees,40.004 21.374 Degrees,Makkah-488-4,
