Location,Selector,Degree,Household Average Size,Household Median Size,Zoom Level,Top Left Degree,Bottom Right Degree,id
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(826),39.145 21.557 Degrees,3.3,2,6,39.142 21.560 Degrees,39.149 21.553 Degrees,826
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(827),39.117 21.577 Degrees,3.8,2,6,39.113 21.580 Degrees,39.120 21.573 Degrees,827
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(828),39.174 21.490 Degrees,1.8,1,6,39.171 21.493 Degrees,39.178 21.486 Degrees,828
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(829),39.145 21.564 Degrees,3.6,2,6,39.142 21.567 Degrees,39.149 21.560 Degrees,829
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(830),39.181 21.564 Degrees,3.4,3,6,39.178 21.567 Degrees,39.185 21.560 Degrees,830
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(831),39.188 21.476 Degrees,2.5,1,6,39.185 21.480 Degrees,39.192 21.473 Degrees,831
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(832),39.181 21.517 Degrees,2.6,2,6,39.178 21.520 Degrees,39.185 21.513 Degrees,832
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(833),39.167 21.583 Degrees,2.7,2,6,39.163 21.587 Degrees,39.171 21.580 Degrees,833
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(834),39.124 21.557 Degrees,3.6,2,6,39.120 21.560 Degrees,39.127 21.553 Degrees,834
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(835),39.196 21.537 Degrees,2.7,2,6,39.192 21.540 Degrees,39.199 21.533 Degrees,835
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(836),39.174 21.496 Degrees,3.2,2,6,39.171 21.500 Degrees,39.178 21.493 Degrees,836
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(837),39.181 21.470 Degrees,2.8,2,6,39.178 21.473 Degrees,39.185 21.466 Degrees,837
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(838),39.145 21.610 Degrees,2.9,2,6,39.142 21.613 Degrees,39.149 21.607 Degrees,838
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(839),39.188 21.517 Degrees,2.8,2,6,39.185 21.520 Degrees,39.192 21.513 Degrees,839
Jeddah,#1851fd1d230-layer-3_layer > g:nth-child(1) > path:nth-child(840),39.117 21.597 Degrees,3.4,2,6,39.113 21.600 Degrees,39.120 21.593 Degrees,840
